E,f,n,ExecutionTime
7,1,10,0.0300000000000011
12,1,10,0
8,0,10,0
10,0,10,0
12,0,10,0
12,0,10,0
13,1,10,0.0199999999999818
10,1,10,0
6,0,10,0
11,1,10,0
12,1,10,0
15,1,10,0
15,1,10,0
19,0,10,0
16,1,10,0
20,2,10,0
22,3,10,0
15,2,10,0
14,1,10,0
23,2,10,0
33,7,10,0
29,3,10,0
21,1,10,0
19,3,10,0
33,7,10,0.0200000000000102
33,9,10,0
24,2,10,0
38,3,10,0
28,0,10,0
27,1,10,0.0200000000000102
9,3,10,0
9,1,10,0
8,2,10,0
11,1,10,0
6,2,10,0
6,0,10,0
10,0,10,0
9,2,10,0.0199999999999818
8,0,10,0
14,0,10,0
16,0,10,0
18,0,10,0
17,0,10,0
13,0,10,0
18,2,10,0
20,1,10,0
15,0,10,0
22,0,10,0
19,3,10,0
18,2,10,0
33,6,10,0
28,3,10,0
26,5,10,0
28,6,10,0
24,3,10,0
23,3,10,0
28,6,10,0
28,5,10,0
30,3,10,0
28,0,10,0
12,0,10,0
6,0,10,0
8,0,10,0
6,0,10,0
7,0,10,0
5,0,10,0
10,0,10,0
11,0,10,0
8,0,10,0
11,1,10,0
23,2,10,0
14,2,10,0
20,1,10,0
22,4,10,0
10,0,10,0
23,5,10,0
17,3,10,0
13,0,10,0.00999999999999091
20,0,10,0
15,0,10,0
25,6,10,0
23,0,10,0
28,5,10,0
22,4,10,0.0100000000000193
23,9,10,0
29,5,10,0
13,3,10,0
24,1,10,0
24,6,10,0
36,3,10,0
8,0,10,0
6,0,10,0.0100000000000193
3,0,10,0
10,0,10,0
9,0,10,0
8,0,10,0
12,4,10,0
16,2,10,0
10,0,10,0
14,1,10,0
15,0,10,0.0200000000000102
24,1,10,0
15,0,10,0
25,7,10,0
19,0,10,0
19,4,10,0.109999999999985
18,1,10,0
17,0,10,0
25,3,10,0
8,0,10,0
24,0,10,0
29,5,10,0
27,7,10,0
32,10,10,0
27,1,10,0
28,3,10,0
28,7,10,0
33,2,10,0
23,4,10,0
34,12,10,0
11,0,10,0
9,10,10,0
6,0,10,0
12,0,10,0
5,0,10,0
6,0,10,0
13,0,10,0
9,0,10,0
12,5,10,0
8,0,10,0
18,1,10,0
19,4,10,0
22,1,10,0
15,1,10,0
19,9,10,0
16,8,10,0
19,9,10,0
20,1,10,0
12,4,10,0
20,0,10,0
36,15,10,0
28,4,10,0
33,18,10,0
22,9,10,0
29,15,10,0
30,7,10,0
27,10,10,0
30,12,10,0.00999999999999091
26,2,10,0
30,10,10,0
17,2,12,0
17,0,12,0
21,0,12,0
10,0,12,0
8,0,12,0
16,2,12,0
12,0,12,0
12,0,12,0
8,0,12,0
12,0,12,0
24,2,12,0
22,2,12,0
29,0,12,0
25,3,12,0
30,0,12,0
29,2,12,0.0200000000000102
25,1,12,0
31,3,12,0
27,2,12,0
12,2,12,0
31,2,12,0
41,8,12,0
30,4,12,0
37,2,12,0
47,3,12,0
37,1,12,0
38,1,12,0
48,2,12,0
41,6,12,0.0100000000000193
26,1,12,0
15,1,12,0
20,5,12,0
16,1,12,0
12,0,12,0
20,2,12,0
15,2,12,0
13,1,12,0
21,5,12,0
16,0,12,0
11,2,12,0
29,2,12,0.0200000000000102
25,1,12,0
25,1,12,0
35,8,12,0
29,2,12,0
29,1,12,0
26,2,12,0
23,1,12,0
21,6,12,0
26,1,12,0
38,5,12,0
39,5,12,0
38,3,12,0
46,5,12,0
38,0,12,0
40,4,12,0
42,5,12,0
45,7,12,0
36,8,12,0.0100000000000193
33,5,12,0
16,0,12,0
9,0,12,0
10,0,12,0
12,0,12,0
4,0,12,0
14,0,12,0
9,0,12,0
12,1,12,0
10,3,12,0
12,0,12,0
21,4,12,0
30,0,12,0
24,0,12,0
23,4,12,0
26,0,12,0.219999999999999
21,4,12,0
17,3,12,0
35,3,12,0
28,2,12,0
34,7,12,0
43,12,12,0
42,3,12,0
41,6,12,0.00999999999999091
30,2,12,0
44,5,12,0
31,1,12,0
40,0,12,0
37,0,12,0
39,6,12,0
44,6,12,0.110000000000014
14,0,12,0
15,3,12,0
14,0,12,0
18,0,12,0
16,2,12,0
12,1,12,0
13,0,12,0
16,1,12,0
13,0,12,0
15,3,12,0
34,2,12,0
40,7,12,0
25,2,12,0
28,4,12,0.00999999999999091
21,5,12,0
34,6,12,0
29,4,12,0
20,0,12,0
28,3,12,0
18,5,12,0
30,7,12,0
38,5,12,0
32,3,12,0
34,6,12,0
39,8,12,0
33,7,12,0
29,3,12,0
49,3,12,0
26,3,12,0
33,0,12,0
12,0,12,0
11,0,12,0
14,0,12,0
15,0,12,0
19,0,12,0
13,3,12,0
13,0,12,0
6,0,12,0
14,0,12,0
13,0,12,0
29,6,12,0.0100000000000193
29,14,12,0
26,5,12,0.109999999999985
29,4,12,0
32,13,12,0
29,9,12,0
24,3,12,0
34,11,12,0
24,6,12,0
24,9,12,0
37,17,12,0
42,1,12,0
42,15,12,0
36,6,12,0
33,0,12,0
38,8,12,0
43,16,12,0
25,7,12,0
36,10,12,0
32,9,12,0
12,1,13,0.0100000000000193
20,0,13,0
19,2,13,0
16,0,13,0
15,0,13,0
15,0,13,0
18,1,13,0
12,2,13,0
7,0,13,0
17,2,13,0
32,3,13,0
29,1,13,0
39,2,13,0
38,5,13,0
46,7,13,0
30,2,13,0.0200000000000102
31,2,13,0
35,5,13,0
34,3,13,0
33,1,13,0
44,3,13,0
45,3,13,0
54,2,13,0
53,5,13,0
43,5,13,0
40,1,13,0
38,4,13,0
49,4,13,0.0100000000000193
41,1,13,0
40,3,13,0.0199999999999818
9,0,13,0
9,0,13,0
15,0,13,0
19,0,13,0
19,0,13,0
14,2,13,0
17,2,13,0
14,0,13,0
16,0,13,0
20,0,13,0
29,3,13,0
36,7,13,0
25,0,13,0
26,2,13,0.0200000000000102
38,3,13,0
34,2,13,0.00999999999999091
25,3,13,0
28,2,13,0
26,0,13,0
34,0,13,0
39,4,13,0
43,8,13,0
49,6,13,0
43,1,13,0
51,4,13,0
50,4,13,0
47,4,13,0
46,2,13,0
35,4,13,0
54,7,13,0
17,1,13,0
15,3,13,0
19,0,13,0
21,5,13,0
14,3,13,0
21,1,13,0
15,0,13,0
21,2,13,0.0200000000000102
12,0,13,0
14,0,13,0
33,0,13,0
31,2,13,0.0200000000000102
28,5,13,0
28,0,13,0
24,3,13,0
28,0,13,0
21,2,13,0
29,1,13,0.0100000000000193
40,5,13,0
30,3,13,0.0199999999999818
50,10,13,0
52,8,13,0.0200000000000102
47,4,13,0
50,9,13,0
39,7,13,0
48,4,13,0
46,4,13,0
42,7,13,0
54,8,13,0
49,9,13,0
19,0,13,0
15,3,13,0
15,0,13,0.00999999999999091
13,0,13,0
20,2,13,0.0200000000000102
17,3,13,0
12,2,13,0
12,0,13,0
11,0,13,0
13,0,13,0
29,1,13,0
26,0,13,0
33,7,13,0.0200000000000102
31,1,13,0
38,0,13,0
27,0,13,0
31,2,13,0
31,0,13,0
27,3,13,0
36,14,13,0
36,1,13,0
51,5,13,0
41,6,13,0
57,16,13,0
39,1,13,0
58,4,13,0
41,4,13,0
42,1,13,0
58,10,13,0
57,4,13,0.0100000000000193
8,0,13,0
13,0,13,0
21,0,13,0
14,8,13,0
22,0,13,0
11,0,13,0
13,10,13,0
17,9,13,0.0199999999999818
15,1,13,0
17,0,13,0
31,10,13,0
28,0,13,0
32,0,13,0
28,3,13,0
39,5,13,0
33,10,13,0
40,11,13,0
35,13,13,0
28,11,13,0
30,0,13,0
54,5,13,0
43,4,13,0
48,22,13,0.0199999999999818
37,1,13,0
56,23,13,0
48,18,13,0
49,16,13,0.00999999999999091
42,13,13,0
41,6,13,0
41,8,13,0
19,0,15,0
21,0,15,0
22,1,15,0
20,1,15,0
31,0,15,0
19,2,15,0
25,4,15,0
20,0,15,0
14,0,15,0
22,2,15,0
52,1,15,0
47,2,15,0
35,2,15,0
40,1,15,0.00999999999999091
39,3,15,0
44,4,15,0.0200000000000102
44,6,15,0
39,3,15,0.00999999999999091
40,3,15,0
49,3,15,0
61,2,15,0.0600000000000023
67,8,15,0
71,8,15,0.0199999999999818
65,7,15,0
76,4,15,0
62,2,15,0
64,7,15,0
64,6,15,0
63,5,15,0
57,5,15,0.0100000000000193
27,2,15,0
17,3,15,0
16,0,15,0
21,2,15,0
25,4,15,0
18,0,15,0
21,0,15,0.0199999999999818
22,0,15,0
23,2,15,0
20,1,15,0
43,0,15,0
39,3,15,0
40,6,15,0
36,3,15,0
39,7,15,0
37,3,15,0
46,3,15,0
45,5,15,0
45,4,15,0.00999999999999091
44,7,15,0
70,5,15,0
58,8,15,0
61,9,15,0.00999999999999091
59,2,15,0
63,2,15,0
59,3,15,0
68,5,15,0
64,10,15,0
67,7,15,0
56,4,15,0
15,0,15,0
22,0,15,0
25,5,15,0
21,0,15,0
21,0,15,0
17,0,15,0
27,0,15,0
17,1,15,0
14,0,15,0
25,0,15,0
44,4,15,0
38,4,15,0.00999999999999091
33,5,15,0
40,4,15,0
40,9,15,0
39,0,15,0
39,1,15,0
