E,f,n,ExecutionTime,cpp
3015,164,102,0.509999999999991,0
3015,164,102,0,1
2962,161,102,0.6400000000001,0
2962,161,102,0,1
3013,171,102,0.680000000000064,0
3013,171,102,0,1
2936,130,102,0.339999999999918,0
2936,130,102,0.0199999999999818,1
2945,153,102,0.330000000000155,0
2945,153,102,0,1
3007,150,102,0.579999999999927,0
3007,150,102,0,1
3092,170,102,0.430000000000064,0
3092,170,102,0,1
2939,140,102,0.410000000000082,0
2939,140,102,0,1
2995,153,102,0.610000000000127,0
2995,153,102,0,1
2984,123,102,0.579999999999927,0
2984,123,102,0,1
3305,171,102,0.360000000000127,0
3305,171,102,0,1
3341,168,102,0.559999999999945,0
3341,168,102,0,1
3318,130,102,0.529999999999973,0
3318,130,102,0,1
3273,196,102,0.710000000000036,0
3273,196,102,0,1
3359,155,102,0.579999999999927,0
3359,155,102,0,1
3320,207,102,0.8900000000001,0
3320,207,102,0,1
3323,166,102,0.360000000000127,0
3323,166,102,0,1
3262,185,102,0.589999999999918,0
3262,185,102,0,1
3281,155,102,0.660000000000082,0
3281,155,102,0,1
3311,155,102,0.370000000000118,0
3311,155,102,0,1
3475,157,102,0.460000000000036,0
3475,157,102,0,1
3615,206,102,0.5,0
3615,206,102,0,1
3646,153,102,0.470000000000027,0
3646,153,102,0,1
3603,168,102,0.3900000000001,0
3603,168,102,0,1
3694,196,102,0.430000000000064,0
3694,196,102,0,1
3660,164,102,0.450000000000045,0
3660,164,102,0,1
3530,155,102,0.700000000000045,0
3530,155,102,0,1
3559,126,102,0.6400000000001,0
3559,126,102,0,1
3569,167,102,0.289999999999964,0
3569,167,102,0,1
3531,186,102,0.480000000000018,0
3531,186,102,0,1
3923,231,102,0.559999999999945,0
3923,231,102,0,1
3915,182,102,0.549999999999955,0
3915,182,102,0,1
3887,223,102,0.389999999999873,0
3887,223,102,0,1
3853,193,102,0.6099999999999,0
3853,193,102,0,1
3885,184,102,0.529999999999973,0
3885,184,102,0,1
3926,220,102,0.7199999999998,0
3926,220,102,0,1
3910,192,102,0.6099999999999,0
3910,192,102,0,1
3919,202,102,0.5,0
3919,202,102,0,1
3879,159,102,0.5,0
3879,159,102,0,1
3957,185,102,0.650000000000091,0
3957,185,102,0,1
4220,162,102,0.430000000000064,0
4220,162,102,0,1
4195,248,102,0.740000000000009,0
4195,248,102,0,1
4226,211,102,0.639999999999873,0
4226,211,102,0,1
4224,198,102,0.659999999999854,0
4224,198,102,0,1
4239,186,102,0.4699999999998,0
4239,186,102,0,1
4178,208,102,0.669999999999845,0
4178,208,102,0,1
4190,193,102,0.529999999999973,0
4190,193,102,0,1
4237,191,102,0.519999999999982,0
4237,191,102,0,1
4236,250,102,0.800000000000182,0
4236,250,102,0,1
4189,192,102,0.509999999999991,0
4189,192,102,0,1
4488,218,102,0.470000000000027,0
4488,218,102,0,1
4474,219,102,0.579999999999927,0
4474,219,102,0,1
4521,199,102,0.610000000000127,0
4521,199,102,0,1
4523,190,102,0.690000000000055,0
4523,190,102,0,1
4440,220,102,0.650000000000091,0
4440,220,102,0,1
4471,202,102,0.450000000000045,0
4471,202,102,0,1
4455,225,102,0.700000000000045,0
4455,225,102,0,1
4493,205,102,0.319999999999936,0
4493,205,102,0,1
4493,258,102,0.829999999999927,0
4493,258,102,0,1
4484,213,102,0.759999999999991,0
4484,213,102,0,1
4777,269,102,0.909999999999854,0
4777,269,102,0,1
4807,221,102,0.659999999999854,0
4807,221,102,0,1
4764,279,102,0.639999999999873,0
4764,279,102,0,1
4810,220,102,0.580000000000155,0
4810,220,102,0,1
4816,270,102,0.809999999999945,0
4816,270,102,0,1
4777,247,102,0.6099999999999,0
4777,247,102,0,1
4702,268,102,0.740000000000009,0
4702,268,102,0,1
4872,225,102,0.849999999999909,0
4872,225,102,0,1
4813,223,102,0.600000000000136,0
4813,223,102,0,1
4709,206,102,0.6400000000001,0
4709,206,102,0,1
5085,303,102,0.970000000000027,0
5085,303,102,0,1
5067,294,102,0.889999999999873,0
5067,294,102,0,1
5139,263,102,0.650000000000091,0
5139,263,102,0,1
5070,258,102,0.970000000000027,0
5070,258,102,0.00999999999999091,1
5109,271,102,0.790000000000191,0
5109,271,102,0.00999999999999091,1
5001,256,102,0.799999999999955,0
5001,256,102,0,1
5045,227,102,0.660000000000082,0
5045,227,102,0,1
5042,252,102,0.639999999999873,0
5042,252,102,0,1
5065,239,102,0.8900000000001,0
5065,239,102,0,1
5100,234,102,0.830000000000155,0
5100,234,102,0,1
5412,240,102,0.8900000000001,0
5412,240,102,0,1
5430,232,102,0.5,0
5430,232,102,0,1
5458,309,102,0.990000000000009,0
5458,309,102,0,1
5442,270,102,0.899999999999864,0
5442,270,102,0,1
5375,299,102,0.910000000000082,0
5375,299,102,0,1
5361,264,102,0.900000000000091,0
5361,264,102,0,1
5345,268,102,0.720000000000027,0
5345,268,102,0,1
5468,302,102,1.02000000000021,0
5468,302,102,0,1
5367,271,102,0.869999999999891,0
5367,271,102,0,1
5341,299,102,0.779999999999973,0
5341,299,102,0,1
5724,294,102,0.799999999999955,0
5724,294,102,0,1
5743,268,102,0.839999999999918,0
5743,268,102,0,1
5729,296,102,0.950000000000045,0
5729,296,102,0,1
5727,337,102,1.04999999999995,0
5727,337,102,0,1
5727,284,102,1.03999999999996,0
5727,284,102,0,1
5660,278,102,0.889999999999873,0
5660,278,102,0,1
5697,299,102,1,0
5697,299,102,0,1
5708,322,102,1.1099999999999,0
5708,322,102,0,1
5750,345,102,1.05999999999995,0
5750,345,102,0,1
5682,269,102,0.839999999999918,0
5682,269,102,0,1
5994,341,102,1,0
5994,341,102,0,1
6046,358,102,1.00999999999999,0
6046,358,102,0,1
6047,273,102,0.770000000000209,0
6047,273,102,0,1
5968,238,102,0.690000000000055,0
5968,238,102,0,1
5960,280,102,0.619999999999891,0
5960,280,102,0,1
5930,260,102,0.839999999999918,0
5930,260,102,0,1
6074,363,102,1.12999999999988,0
6074,363,102,0,1
6015,321,102,0.899999999999864,0
6015,321,102,0,1
6004,261,102,0.669999999999845,0
6004,261,102,0,1
6052,293,102,1.01999999999998,0
6052,293,102,0,1
6345,272,102,0.779999999999973,0
6345,272,102,0,1
6376,324,102,0.899999999999864,0
6376,324,102,0,1
6205,324,102,0.980000000000018,0
6205,324,102,0,1
6266,321,102,0.980000000000018,0
6266,321,102,0,1
6240,313,102,1.09999999999991,0
6240,313,102,0.00999999999999091,1
6349,367,102,1.2800000000002,0
6349,367,102,0.0199999999999818,1
6347,289,102,1.00999999999999,0
6347,289,102,0,1
6376,313,102,0.950000000000045,0
6376,313,102,0,1
6369,353,102,1.17000000000007,0
6369,353,102,0,1
6331,339,102,0.990000000000009,0
6331,339,102,0,1
6628,320,102,1.21000000000004,0
6628,320,102,0,1
6520,377,102,1.1400000000001,0
6520,377,102,0,1
6513,288,102,0.800000000000182,0
6513,288,102,0,1
6607,289,102,0.990000000000009,0
6607,289,102,0.00999999999999091,1
6644,279,102,0.759999999999991,0
6644,279,102,0,1
6598,364,102,1.28999999999996,0
6598,364,102,0,1
6649,347,102,0.899999999999864,0
6649,347,102,0,1
6575,370,102,1.13999999999987,0
6575,370,102,0,1
6629,340,102,1.05999999999995,0
6629,340,102,0,1
6534,259,102,0.580000000000155,0
6534,259,102,0,1
6822,360,102,1.20000000000005,0
6822,360,102,0,1
6821,386,102,1.25,0
6821,386,102,0,1
6881,347,102,1.17000000000007,0
6881,347,102,0,1
6932,372,102,1.1099999999999,0
6932,372,102,0,1
6885,381,102,1.47999999999979,0
6885,381,102,0,1
7002,371,102,1.09999999999991,0
7002,371,102,0,1
6928,377,102,0.980000000000018,0
6928,377,102,0,1
6907,379,102,1.08999999999992,0
6907,379,102,0,1
6949,371,102,1.22000000000003,0
6949,371,102,0,1
6918,346,102,1.12000000000012,0
6918,346,102,0,1
7282,395,102,1.15000000000009,0
