E,f,n,ExecutionTime,cpp
2000,223,50,0.170000000000073,0
2000,223,50,0,1
1959,191,50,0.139999999999418,0
1959,191,50,0,1
1978,215,50,0.1899999999996,0
1978,215,50,0,1
1970,210,50,0.25,0
1970,210,50,0,1
2005,197,50,0.25,0
2005,197,50,0,1
2004,182,50,0.130000000000109,0
2004,182,50,0,1
2063,147,80,0.390000000000327,0
2063,147,80,0,1
2078,89,80,0.269999999999527,0
2078,89,80,0,1
2013,125,80,0.289999999999964,0
2013,125,80,0,1
2032,138,80,0.220000000000255,0
2032,138,80,0,1
1967,134,80,0.5,0
1967,134,80,0,1
2025,105,110,0.479999999999563,0
2025,105,110,0,1
2041,68,110,0.239999999999782,0
2041,68,110,0,1
1931,108,110,0.519999999999527,0
1931,108,110,0,1
1991,104,110,0.419999999999163,0
1991,104,110,0,1
2080,97,110,0.579999999999927,0
2080,97,110,0,1
2018,48,140,0.0799999999999272,0
2018,48,140,0,1
1951,77,140,0.530000000000655,0
1951,77,140,0,1
1916,77,140,0.579999999999927,0
1916,77,140,0,1
2021,89,140,0.509999999999309,0
2021,89,140,0,1
1994,62,140,0.349999999999454,0
1994,62,140,0,1
1993,69,170,0.859999999999673,0
1993,69,170,0,1
2026,29,170,0.170000000000073,0
2026,29,170,0,1
2041,67,170,0.860000000000582,0
2041,67,170,0,1
1970,53,170,0.779999999999745,0
1970,53,170,0,1
1976,75,170,0.699999999999818,0
1976,75,170,0,1
2049,31,200,0.969999999999345,0
2049,31,200,0,1
1979,44,200,0.919999999999163,0
1979,44,200,0.0200000000004366,1
1976,34,200,0.449999999999818,0
1976,34,200,0,1
1941,34,200,0.229999999999563,0
1941,34,200,0,1
1940,61,200,0.909999999999854,0
1940,61,200,0,1
3017,254,60,0.329999999999927,0
3017,254,60,0,1
3000,265,60,0.359999999999673,0
3000,265,60,0,1
2973,266,60,0.369999999999891,0
2973,266,60,0,1
3018,227,60,0.190000000000509,0
3018,227,60,0,1
3029,245,60,0.340000000000146,0
3029,245,60,0,1
3038,184,90,0.349999999999454,0
3038,184,90,0,1
3006,145,90,0.5,0
3006,145,90,0,1
3020,203,90,0.469999999999345,0
3020,203,90,0,1
3008,165,90,0.359999999999673,0
3008,165,90,0,1
2936,153,90,0.339999999999236,0
2936,153,90,0,1
3116,109,120,0.420000000000073,0
3116,109,120,0,1
2953,141,120,0.699999999999818,0
2953,141,120,0,1
3002,84,120,0.329999999999927,0
3002,84,120,0,1
2976,150,120,0.969999999999345,0
2976,150,120,0,1
2926,140,120,0.410000000000764,0
2926,140,120,0,1
2968,113,150,1.14000000000033,0
2968,113,150,0,1
3049,58,150,0.170000000000073,0
3049,58,150,0,1
2913,112,150,0.829999999999927,0
2913,112,150,0,1
3035,85,150,0.720000000000255,0
3035,85,150,0,1
3063,107,150,0.960000000000036,0
3063,107,150,0,1
2969,158,180,1.51000000000022,0
2969,158,180,0,1
2908,67,180,0.760000000000218,0
2908,67,180,0,1
2860,65,180,0.739999999999782,0
2860,65,180,0,1
3068,101,180,1.38000000000011,0
3068,101,180,0,1
3038,24,180,0.0500000000001819,0
3038,24,180,0,1
2899,82,210,1.08999999999924,0
2899,82,210,0,1
2977,75,210,0.829999999999927,0
2977,75,210,0,1
3054,60,210,1.07999999999993,0
3054,60,210,0,1
2942,70,210,0.770000000000437,0
2942,70,210,0,1
3076,75,210,1.19999999999982,0
3076,75,210,0,1
2880,46,240,1.56999999999971,0
2880,46,240,0,1
2962,54,240,1.71999999999935,0
2962,54,240,0,1
2949,69,240,2.39000000000033,0
2949,69,240,0,1
2929,36,240,1.13000000000011,0
2929,36,240,0,1
3023,59,240,2.63000000000011,0
3023,59,240,0,1
2922,40,270,2.36000000000058,0
2922,40,270,0,1
2950,36,270,1.71999999999935,0
2950,36,270,0,1
3009,43,270,0.860000000000582,0
3009,43,270,0,1
2915,35,270,1.86999999999989,0
2915,35,270,0.0200000000004366,1
3023,69,270,3.78999999999996,0
3023,69,270,0,1
3050,13,300,0.779999999999745,0
3050,13,300,0,1
2997,46,300,2.47000000000025,0
2997,46,300,0,1
3022,48,300,2.21999999999935,0
3022,48,300,0,1
3052,41,300,2.82999999999993,0
3052,41,300,0,1
3027,52,300,2.90000000000055,0
3027,52,300,0,1
3012,274,60,0.329999999999927,0
3012,274,60,0,1
2970,227,60,0.3100000000004,0
2970,227,60,0,1
2991,280,60,0.299999999999272,0
2991,280,60,0,1
3021,270,60,0.380000000000109,0
3021,270,60,0,1
3012,271,60,0.399999999999636,0
3012,271,60,0,1
3015,192,70,0.3100000000004,0
3015,192,70,0.0199999999995271,1
3045,227,70,0.369999999999891,0
3045,227,70,0,1
2992,213,70,0.399999999999636,0
2992,213,70,0,1
2981,194,70,0.3100000000004,0
2981,194,70,0,1
3013,193,70,0.409999999999854,0
3013,193,70,0,1
3010,202,80,0.279999999999745,0
3010,202,80,0,1
2979,205,80,0.369999999999891,0
2979,205,80,0,1
3046,234,80,0.410000000000764,0
3046,234,80,0,1
2996,181,80,0.450000000000728,0
2996,181,80,0,1
2989,198,80,0.510000000000218,0
2989,198,80,0,1
3027,130,90,0.260000000000218,0
3027,130,90,0,1
2978,101,90,0.190000000000509,0
2978,101,90,0,1
3042,122,90,0.410000000000764,0
3042,122,90,0,1
2984,186,90,0.409999999999854,0
2984,186,90,0,1
3062,167,90,0.25,0
3062,167,90,0,1
2993,174,100,0.590000000000146,0
2993,174,100,0,1
2976,162,100,0.359999999999673,0
2976,162,100,0,1
3061,162,100,0.399999999999636,0
3061,162,100,0,1
3021,146,100,0.329999999999927,0
3021,146,100,0,1
2976,188,100,0.509999999999309,0
2976,188,100,0,1
2964,137,110,0.299999999999272,0
2964,137,110,0,1
3015,137,110,0.430000000000291,0
3015,137,110,0,1
2961,142,110,0.639999999999418,0
2961,142,110,0,1
2994,90,110,0.230000000000473,0
2994,90,110,0,1
3041,112,110,0.399999999999636,0
3041,112,110,0,1
3068,126,120,0.389999999999418,0
3068,126,120,0,1
2836,87,120,0.570000000000618,0
2836,87,120,0,1
2997,165,120,0.569999999999709,0
2997,165,120,0,1
3017,96,120,0.350000000000364,0
3017,96,120,0,1
2939,111,120,0.660000000000764,0
2939,111,120,0,1
3034,68,130,0.1899999999996,0
3034,68,130,0,1
3005,82,130,0.229999999999563,0
3005,82,130,0,1
2997,101,130,0.619999999999891,0
2997,101,130,0,1
2943,111,130,0.720000000000255,0
2943,111,130,0,1
2968,72,130,0.199999999999818,0
2968,72,130,0,1
2944,120,140,0.630000000000109,0
2944,120,140,0,1
3056,106,140,0.619999999999891,0
3056,106,140,0,1
2960,62,140,0.170000000000073,0
2960,62,140,0,1
2960,102,140,0.720000000000255,0
2960,102,140,0,1
3076,83,140,0.480000000000473,0
3076,83,140,0,1
2989,118,150,0.969999999999345,0
2989,118,150,0,1
3005,113,150,0.880000000000109,0
3005,113,150,0,1
2964,73,150,0.760000000000218,0
2964,73,150,0,1
3015,123,150,1.14000000000033,0
3015,123,150,0,1
3011,87,150,0.910000000000764,0
3011,87,150,0,1
2957,91,160,0.869999999999891,0
2957,91,160,0,1
2991,69,160,0.699999999999818,0
2991,69,160,0,1
3039,80,160,0.449999999999818,0
3039,80,160,0,1
3037,106,160,1.19999999999982,0
3037,106,160,0,1
2966,99,160,1.18000000000029,0
2966,99,160,0,1
3026,71,170,0.899999999999636,0
3026,71,170,0,1
3007,92,170,1.3100000000004,0
3007,92,170,0,1
2937,113,170,1.33999999999924,0
2937,113,170,0,1
2986,91,170,0.75,0
2986,91,170,0,1
3050,122,170,1.39999999999964,0
3050,122,170,0,1
3007,83,180,1.19999999999982,0
3007,83,180,0.0200000000004366,1
2943,84,180,1.55000000000018,0
2943,84,180,0.0100000000002183,1
2931,83,180,1.02999999999975,0
2931,83,180,0,1
3024,46,180,0.590000000000146,0
3024,46,180,0,1
2943,41,180,0.479999999999563,0
2943,41,180,0,1
3007,93,190,1.28999999999996,0
3007,93,190,0,1
3012,62,190,0.529999999999745,0
3012,62,190,0,1
2994,65,190,0.920000000000073,0
2994,65,190,0,1
3035,76,190,0.449999999999818,0
3035,76,190,0,1
2991,63,190,0.960000000000036,0
2991,63,190,0,1
2951,49,200,1.13000000000011,0
2951,49,200,0,1
3086,73,200,0.889999999999418,0
3086,73,200,0.0100000000002183,1
3093,65,200,1.02000000000044,0
3093,65,200,0,1
2998,41,200,0.449999999999818,0
2998,41,200,0,1
2985,38,200,0.359999999999673,0
2985,38,200,0,1
3030,53,210,1.52999999999975,0
3030,53,210,0,1
2950,69,210,1.3100000000004,0
2950,69,210,0,1
3002,78,210,1.3100000000004,0
3002,78,210,0,1
