E,f,n,ExecutionTime
38,1,20,0
30,1,20,0
51,0,20,0
39,2,20,0
47,3,20,0
33,1,20,0
38,1,20,0
35,1,20,0.0199999999999818
36,3,20,0
37,1,20,0
83,5,20,0
88,2,20,0
69,2,20,0.0200000000000387
85,3,20,0
69,6,20,0
81,5,20,0
77,4,20,0
67,4,20,0.00999999999999091
79,6,20,0
61,4,20,0
50,2,20,0
33,0,20,0
40,2,20,0
42,2,20,0
24,0,20,0
36,4,20,0
42,0,20,0
31,2,20,0
46,2,20,0
36,0,20,0
82,3,20,0
63,5,20,0
64,4,20,0
67,6,20,0
70,5,20,0.0199999999999818
91,7,20,0
77,5,20,0.0199999999999818
76,8,20,0
79,3,20,0
78,4,20,0
37,0,20,0
38,1,20,0
34,3,20,0
39,0,20,0
32,0,20,0
39,0,20,0
40,1,20,0
48,5,20,0
31,0,20,0
34,2,20,0
79,6,20,0
69,9,20,0.0100000000000477
74,9,20,0
74,2,20,0
82,8,20,0
64,1,20,0
74,11,20,0
55,0,20,0
79,2,20,0
75,11,20,0.0200000000000387
37,0,20,0
48,6,20,0
47,3,20,0
37,1,20,0
35,0,20,0
34,0,20,0
38,0,20,0.170000000000016
33,0,20,0
46,4,20,0
34,4,20,0
78,5,20,0
99,8,20,0
79,11,20,0
79,10,20,0
88,15,20,0
85,13,20,0
78,6,20,0
69,10,20,0.0199999999999818
79,10,20,0
89,13,20,0.0799999999999841
35,10,20,0
47,5,20,0
38,4,20,0
53,14,20,0
30,2,20,0
28,0,20,0
42,0,20,0
41,0,20,0
50,10,20,0
42,7,20,0
80,8,20,0
82,14,20,0
69,2,20,0
81,12,20,0.0199999999999818
79,13,20,0.0199999999999818
79,15,20,0
68,21,20,0.00999999999999091
90,23,20,0
75,16,20,0
65,5,20,0
265,7,50,0.0199999999999818
246,9,50,0
243,4,50,0.0199999999999818
261,9,50,0.139999999999986
227,7,50,0.0300000000000296
239,7,50,0.0299999999999727
243,4,50,0.0200000000000387
245,2,50,0
224,9,50,0.00999999999999091
