E,f,n,ExecutionTime
84,4,20,0.00999999999999801
7,0,10,0
18,2,10,0
22,1,10,0
13,3,10,0
13,2,10,0
24,4,10,0
5,0,10,0
15,0,10,0
24,4,10,0
13,0,12,0
25,5,12,0
33,0,12,0
13,0,12,0
19,2,12,0
43,6,12,0
11,0,12,0
23,5,12,0
40,10,12,0
12,0,13,0
31,2,13,0
43,5,13,0
15,0,13,0
39,10,13,0
46,5,13,0
15,0,13,0
26,2,13,0
42,11,13,0
9,0,10,0
10,1,10,0
14,0,10,0
8,0,10,0
9,0,10,0
11,0,10,0
11,3,10,0
6,0,10,0
8,0,10,0
12,0,10,0
18,0,10,0
18,1,10,0
19,3,10,0
15,1,10,0
16,0,10,0
17,0,10,0
19,1,10,0
23,0,10,0
20,1,10,0
16,2,10,0
30,4,10,0
21,0,10,0
26,2,10,0
19,0,10,0
27,3,10,0
28,2,10,0
20,4,10,0
27,5,10,0
28,4,10,0
28,4,10,0
10,0,10,0
13,0,10,0
13,0,10,0
10,0,10,0
9,0,10,0
6,0,10,0
12,0,10,0
14,0,10,0
11,0,10,0
4,0,10,0
17,2,10,0
20,1,10,0.0199999999999818
22,4,10,0
19,6,10,0
18,3,10,0
16,1,10,0
11,1,10,0
20,0,10,0
21,6,10,0
19,1,10,0
24,3,10,0
22,2,10,0
30,4,10,0
27,2,10,0
37,2,10,0
31,8,10,0
23,1,10,0
28,1,10,0
34,4,10,0
28,2,10,0
4,0,10,0
8,0,10,0
8,3,10,0
12,3,10,0
10,0,10,0
8,0,10,0
13,4,10,0
10,0,10,0
7,0,10,0
8,1,10,0
20,1,10,0.0199999999999818
14,0,10,0
17,0,10,0
24,1,10,0
23,6,10,0
16,2,10,0
13,0,10,0
14,0,10,0
11,0,10,0
16,3,10,0
23,0,10,0
29,6,10,0
22,8,10,0
29,7,10,0
30,2,10,0
30,1,10,0
29,2,10,0
24,7,10,0
24,3,10,0
30,2,10,0
12,0,12,0
11,0,12,0
17,0,12,0
7,0,12,0
13,0,12,0
12,1,12,0
17,0,12,0
8,0,12,0
15,2,12,0
14,0,12,0
22,1,12,0
26,0,12,0
23,0,12,0
25,2,12,0
30,0,12,0
41,2,12,0.0199999999999818
26,0,12,0
26,1,12,0
29,4,12,0
25,2,12,0
34,2,12,0
31,0,12,0
36,3,12,0
43,7,12,0
28,2,12,0
39,4,12,0
33,4,12,0
52,7,12,0
33,4,12,0
45,2,12,0
11,0,12,0
13,0,12,0
10,0,12,0
20,0,12,0
18,1,12,0
22,1,12,0
15,0,12,0
15,1,12,0
9,0,12,0
14,0,12,0
23,2,12,0
28,1,12,0
27,1,12,0
30,2,12,0.0199999999999818
30,1,12,0
25,2,12,0
24,1,12,0
15,0,12,0
22,3,12,0
24,2,12,0
38,2,12,0
44,4,12,0
43,6,12,0
43,4,12,0
48,1,12,0
35,4,12,0
26,2,12,0
44,4,12,0.150000000000091
39,5,12,0
39,1,12,0.0199999999999818
10,0,12,0
11,0,12,0
16,1,12,0
15,0,12,0
18,0,12,0
11,0,12,0
11,0,12,0
11,0,12,0
13,0,12,0
8,0,12,0
31,0,12,0
33,1,12,0
29,1,12,0
31,1,12,0
24,3,12,0
22,4,12,0
27,3,12,0
31,14,12,0
29,4,12,0
30,4,12,0
37,0,12,0
40,5,12,0
37,6,12,0
43,5,12,0
46,8,12,0.0199999999999818
36,4,12,0
32,7,12,0
48,8,12,0
33,10,12,0
42,6,12,0
16,3,13,0
13,0,13,0
19,0,13,0
15,0,13,0
15,0,13,0
18,0,13,0
14,0,13,0
14,0,13,0
15,0,13,0
15,2,13,0
35,5,13,0
30,0,13,0
25,1,13,0
31,0,13,0
35,0,13,0
37,0,13,0
36,4,13,0.00999999999999091
32,2,13,0
23,0,13,0
32,0,13,0
46,0,13,0.00999999999999091
49,5,13,0.0199999999999818
46,4,13,0
54,7,13,0
51,5,13,0
49,3,13,0
44,3,13,0
49,5,13,0
49,2,13,0
42,4,13,0
21,0,13,0
17,0,13,0
14,0,13,0
17,4,13,0
22,3,13,0
11,0,13,0
16,0,13,0
22,2,13,0
13,0,13,0
15,1,13,0
23,1,13,0
31,5,13,0
36,0,13,0.0199999999999818
32,3,13,0
34,5,13,0
30,0,13,0
33,0,13,0
34,8,13,0
27,3,13,0
33,9,13,0
46,3,13,0.00999999999999091
50,3,13,0.0200000000002092
37,5,13,0
50,6,13,0
33,2,13,0
39,2,13,0
45,2,13,0
47,5,13,0
45,4,13,0
49,1,13,0.00999999999999091
12,0,13,0
17,0,13,0
17,0,13,0
15,0,13,0
15,0,13,0
20,7,13,0
13,0,13,0
16,0,13,0
15,1,13,0
19,0,13,0
34,1,13,0
32,0,13,0
31,3,13,0
29,0,13,0
34,7,13,0
24,1,13,0
31,2,13,0.0199999999999818
24,2,13,0
27,3,13,0
20,2,13,0
46,6,13,0
48,9,13,0
46,6,13,0
48,4,13,0
47,3,13,0
54,10,13,0
45,8,13,0
53,9,13,0
45,9,13,0
40,9,13,0
9,0,10,0
5,0,10,0
7,0,10,0
11,0,10,0
3,0,10,0
11,0,10,0
6,0,10,0
5,0,10,0
5,0,10,0
9,2,10,0
19,0,10,0
23,1,10,0
18,1,10,0.00999999999999091
11,0,10,0
14,2,10,0
19,1,10,0
17,2,10,0
23,2,10,0
20,2,10,0
18,1,10,0
22,1,10,0
27,2,10,0
27,1,10,0
27,1,10,0
26,1,10,0
31,2,10,0
25,2,10,0
17,2,10,0
23,3,10,0
26,4,10,0
13,3,10,0
9,0,10,0
10,2,10,0
7,0,10,0
4,0,10,0
8,1,10,0
6,0,10,0
3,0,10,0
10,3,10,0
15,1,10,0
19,5,10,0
24,5,10,0
17,0,10,0
19,2,10,0
14,1,10,0
14,0,10,0
18,4,10,0
16,1,10,0
16,0,10,0
22,2,10,0
28,1,10,0
26,2,10,0
25,0,10,0
16,0,10,0
28,6,10,0
26,4,10,0
38,4,10,0
27,0,10,0
25,2,10,0
24,4,10,0
8,0,10,0
6,0,10,0
7,0,10,0
9,0,10,0
13,4,10,0
6,0,10,0
8,0,10,0
11,3,10,0
6,0,10,0
10,3,10,0
22,1,10,0
19,1,10,0
16,3,10,0
20,1,10,0
12,0,10,0
18,0,10,0
22,5,10,0
21,2,10,0
15,3,10,0
16,3,10,0
27,4,10,0
28,1,10,0
30,6,10,0
18,4,10,0
24,1,10,0
26,4,10,0
26,2,10,0
27,1,10,0
19,2,10,0
26,11,10,0
6,0,10,0
7,0,10,0
9,0,10,0
8,0,10,0
5,0,10,0
13,0,10,0
10,0,10,0
7,0,10,0
11,0,10,0
8,0,10,0
13,2,10,0
30,6,10,0
14,3,10,0
16,0,10,0
18,4,10,0
24,0,10,0
15,0,10,0
21,0,10,0
19,0,10,0
18,0,10,0
27,5,10,0
26,2,10,0
29,6,10,0
28,9,10,0
21,4,10,0.0199999999999818
18,1,10,0
29,6,10,0
23,0,10,0
30,5,10,0
34,4,10,0
6,0,10,0
9,0,10,0
7,0,10,0
11,0,10,0
9,0,10,0
9,0,10,0
11,3,10,0
6,0,10,0
10,0,10,0
9,6,10,0
13,6,10,0
15,0,10,0
16,13,10,0
15,0,10,0
18,7,10,0
13,0,10,0
14,2,10,0
22,0,10,0
19,2,10,0
16,0,10,0
29,8,10,0
27,6,10,0
27,5,10,0
26,12,10,0
33,1,10,0
28,20,10,0
34,12,10,0
33,8,10,0
25,17,10,0
28,2,10,0
13,0,12,0
12,0,12,0
12,0,12,0
13,2,12,0
16,1,12,0
13,0,12,0
17,0,12,0
12,0,12,0
16,0,12,0
10,2,12,0
20,0,12,0
25,3,12,0
23,3,12,0
20,1,12,0
26,3,12,0
31,4,12,0
38,3,12,0
25,1,12,0
30,5,12,0
32,2,12,0
45,3,12,0
51,2,12,0.0299999999999727
40,3,12,0
42,3,12,0
36,2,12,0
42,6,12,0.0200000000002092
36,4,12,0
33,2,12,0
36,6,12,0
35,6,12,0
12,0,12,0
11,0,12,0
21,0,12,0
11,0,12,0
11,0,12,0
13,0,12,0
12,0,12,0
17,0,12,0
9,0,12,0
13,0,12,0
34,7,12,0
28,2,12,0
17,0,12,0
24,5,12,0
22,0,12,0
27,3,12,0
23,4,12,0
31,2,12,0
29,4,12,0
32,3,12,0
48,12,12,0
37,7,12,0
40,3,12,0
40,6,12,0
40,2,12,0
36,2,12,0
31,2,12,0
32,3,12,0
45,8,12,0
43,5,12,0
12,0,12,0
16,0,12,0
10,0,12,0
18,2,12,0
12,2,12,0
14,3,12,0
13,0,12,0
13,0,12,0
15,0,12,0
14,0,12,0
27,7,12,0
22,3,12,0
36,8,12,0
26,6,12,0
22,1,12,0
26,6,12,0
31,4,12,0
32,10,12,0
25,4,12,0
31,6,12,0
39,6,12,0
46,5,12,0.0199999999999818
38,4,12,0
34,3,12,0
40,2,12,0.0199999999999818
40,5,12,0
42,6,12,0
41,2,12,0
37,2,12,0
49,14,12,0
14,0,12,0
12,0,12,0
14,2,12,0
10,0,12,0
9,0,12,0
17,4,12,0
18,0,12,0
12,4,12,0
15,1,12,0
18,6,12,0
23,1,12,0
35,4,12,0
24,0,12,0
26,0,12,0
37,6,12,0.00999999999999091
27,2,12,0
25,0,12,0
19,1,12,0
30,4,12,0
28,7,12,0
41,16,12,0
38,5,12,0.0199999999999818
44,5,12,0
33,5,12,0
43,12,12,0
39,1,12,0.0199999999999818
37,3,12,0
43,9,12,0.00999999999999091
44,8,12,0
37,0,12,0
12,0,12,0
10,0,12,0
16,0,12,0
11,8,12,0
9,0,12,0
12,8,12,0
13,0,12,0
8,0,12,0
17,7,12,0
12,0,12,0
22,0,12,0
31,5,12,0
28,0,12,0
24,0,12,0
20,8,12,0
25,0,12,0
25,0,12,0
19,0,12,0
34,9,12,0
22,3,12,0
37,22,12,0
46,22,12,0
39,19,12,0
43,9,12,0
32,0,12,0
35,7,12,0
35,3,12,0
44,29,12,0
28,0,12,0
36,14,12,0
18,0,13,0
13,0,13,0
14,0,13,0
21,0,13,0
20,1,13,0
15,0,13,0
20,2,13,0
17,0,13,0
20,0,13,0
15,1,13,0
34,3,13,0
23,3,13,0
37,1,13,0
24,0,13,0
37,1,13,0
29,0,13,0
32,3,13,0
27,2,13,0
28,1,13,0
20,2,13,0
46,2,13,0
40,3,13,0
45,4,13,0.0199999999999818
46,1,13,0
50,5,13,0
41,0,13,0
44,5,13,0
39,5,13,0
56,9,13,0
45,6,13,0
15,0,13,0
20,2,13,0
16,0,13,0
14,0,13,0
16,0,13,0
12,0,13,0
10,0,13,0
16,0,13,0
9,0,13,0
15,2,13,0
21,5,13,0
34,4,13,0
26,4,13,0
33,2,13,0
25,0,13,0
29,3,13,0
22,0,13,0
36,7,13,0
28,1,13,0
27,1,13,0
42,5,13,0
40,4,13,0
46,6,13,0
49,7,13,0.00999999999999091
47,4,13,0.0199999999999818
42,4,13,0
52,2,13,0.00999999999999091
49,8,13,0.0199999999999818
38,4,13,0
45,0,13,0
24,0,13,0
18,2,13,0
12,0,13,0
13,0,13,0
22,0,13,0
18,0,13,0
14,0,13,0
13,0,13,0
15,0,13,0
7,0,13,0
40,8,13,0
36,4,13,0
29,6,13,0
40,3,13,0
32,4,13,0
29,7,13,0
34,4,13,0
28,0,13,0.00999999999999091
32,4,13,0
32,3,13,0
47,1,13,0.00999999999999091
52,8,13,0
46,11,13,0.0199999999999818
58,2,13,0
50,10,13,0.00999999999999091
52,10,13,0
49,7,13,0.130000000000109
50,8,13,0.0299999999999727
47,3,13,0
49,1,13,0
14,2,13,0
14,5,13,0
15,2,13,0
8,0,13,0
16,5,13,0
23,0,13,0
18,0,13,0
12,2,13,0
12,0,13,0
19,2,13,0
25,5,13,0
29,1,13,0
35,8,13,0
23,0,13,0
26,0,13,0
37,0,13,0
35,4,13,0
31,5,13,0
32,5,13,0
32,2,13,0
47,5,13,0
46,1,13,0
43,0,13,0
44,0,13,0
50,5,13,0
43,9,13,0
54,12,13,0
48,10,13,0
47,7,13,0
51,1,13,0
17,0,13,0
13,0,13,0
18,0,13,0
27,10,13,0
14,0,13,0
12,0,13,0
15,0,13,0
13,0,13,0
16,0,13,0
17,0,13,0
31,10,13,0
30,4,13,0
41,7,13,0
33,9,13,0
26,7,13,0
24,9,13,0
36,9,13,0
35,14,13,0
17,5,13,0
34,11,13,0
42,12,13,0
46,8,13,0
37,1,13,0
57,39,13,0
42,13,13,0
58,12,13,0.0899999999999181
47,11,13,0.0199999999999818
47,6,13,0.0899999999999181
41,11,13,0
48,20,13,0.0199999999999818
11,1,10,0
9,1,10,0
9,0,10,0
10,0,10,0
8,1,10,0
13,2,10,0
6,0,10,0
8,0,10,0
4,0,10,0
8,0,10,0
17,1,10,0
22,3,10,0
18,1,10,0
17,2,10,0
26,5,10,0
17,0,10,0
25,0,10,0
15,0,10,0
16,0,10,0
16,0,10,0
22,3,10,0
29,4,10,0
25,2,10,0
