E,f,n,ExecutionTime
5,1,10,0
8,0,10,0
7,0,10,0
9,0,10,0
16,0,10,0
12,0,10,0
11,0,10,0
6,0,10,0
6,0,10,0
14,0,10,0
14,0,10,0
12,4,10,0
18,1,10,0
13,0,10,0
14,0,10,0
8,0,10,0
17,0,10,0
12,1,10,0
17,0,10,0
19,0,10,0
28,2,10,0
27,3,10,0
25,2,10,0
30,4,10,0
27,0,10,0
27,4,10,0
34,5,10,0
24,2,10,0
25,0,10,0
27,3,10,0
7,1,10,0
8,2,10,0
14,0,10,0
5,0,10,0
12,2,10,0
9,0,10,0
13,0,10,0
10,2,10,0
10,1,10,0
5,0,10,0
22,0,10,0
17,0,10,0
14,0,10,0
17,0,10,0
23,2,10,0
13,0,10,0
15,1,10,0
20,0,10,0
21,1,10,0
23,1,10,0
27,5,10,0
22,5,10,0
25,3,10,0
31,0,10,0
27,4,10,0
27,1,10,0
27,2,10,0
32,4,10,0
32,6,10,0
34,9,10,0
8,0,10,0
10,0,10,0
7,0,10,0
7,0,10,0
11,0,10,0
11,0,10,0
10,0,10,0
7,2,10,0
11,3,10,0
11,1,10,0
16,3,10,0
14,0,10,0
24,2,10,0
17,1,10,0
18,1,10,0
21,2,10,0
21,5,10,0
17,3,10,0
15,1,10,0
16,0,10,0
29,3,10,0
30,8,10,0
26,3,10,0
23,1,10,0
32,6,10,0
21,2,10,0
21,2,10,0
24,4,10,0
32,10,10,0
29,7,10,0
15,0,10,0
8,0,10,0
7,0,10,0
13,0,10,0
15,4,10,0
9,0,10,0
9,4,10,0
8,0,10,0
5,0,10,0
9,0,10,0
22,0,10,0
13,3,10,0
18,1,10,0
14,0,10,0
17,2,10,0
16,3,10,0
15,6,10,0
13,0,10,0
24,4,10,0
13,0,10,0
26,7,10,0
23,3,10,0
36,15,10,0
31,2,10,0
28,4,10,0
20,0,10,0
25,6,10,0
29,4,10,0
20,3,10,0
35,10,10,0
11,0,10,0
13,0,10,0
9,0,10,0
11,0,10,0
7,0,10,0
10,10,10,0
9,4,10,0
8,0,10,0
7,0,10,0
8,0,10,0
25,17,10,0
24,3,10,0
19,24,10,0
12,0,10,0
23,7,10,0
18,8,10,0
16,0,10,0
14,0,10,0
19,4,10,0
21,6,10,0
29,5,10,0
25,0,10,0
36,16,10,0
22,12,10,0
32,0,10,0
19,6,10,0
30,6,10,0
26,7,10,0
34,18,10,0
32,11,10,0
11,0,12,0
15,0,12,0
15,0,12,0
6,0,12,0
16,0,12,0
19,1,12,0
13,2,12,0
12,0,12,0
21,1,12,0
15,1,12,0
29,4,12,0
20,1,12,0
29,4,12,0
29,1,12,0
19,0,12,0
26,2,12,0
34,0,12,0
33,5,12,0
24,2,12,0
19,2,12,0
40,1,12,0
35,3,12,0
49,3,12,0
33,2,12,0
44,5,12,0
39,1,12,0
51,7,12,0
41,6,12,0
35,3,12,0
33,2,12,0
18,5,12,0
13,1,12,0
11,0,12,0
9,0,12,0
16,0,12,0
11,0,12,0
15,2,12,0
12,0,12,0
19,2,12,0
11,0,12,0
28,2,12,0
29,1,12,0
34,6,12,0
20,0,12,0
29,0,12,0
32,5,12,0
19,1,12,0
24,0,12,0
29,5,12,0
27,6,12,0
39,10,12,0
37,7,12,0
30,3,12,0
43,7,12,0
40,7,12,0
35,2,12,0
35,4,12,0
38,5,12,0
33,2,12,0
33,4,12,0
17,0,12,0
9,0,12,0
20,1,12,0
9,0,12,0
16,4,12,0
10,0,12,0
14,0,12,0
12,0,12,0
18,1,12,0
17,1,12,0
26,3,12,0
24,1,12,0
22,9,12,0
18,0,12,0
29,2,12,0
24,2,12,0
24,2,12,0
25,3,12,0
29,3,12,0
29,7,12,0
49,7,12,0
44,2,12,0
33,3,12,0
43,4,12,0
46,5,12,0
44,4,12,0
34,4,12,0
38,4,12,0
38,4,12,0
42,8,12,0
15,0,12,0
12,0,12,0
12,0,12,0
11,0,12,0
9,1,12,0
15,4,12,0
13,0,12,0
19,0,12,0
9,2,12,0
9,0,12,0
26,6,12,0
33,6,12,0
20,3,12,0
29,0,12,0
30,3,12,0
30,5,12,0
30,6,12,0
23,9,12,0
29,5,12,0
32,7,12,0
36,10,12,0
50,8,12,0
45,11,12,0
39,0,12,0
37,7,12,0
38,4,12,0
41,9,12,0
29,0,12,0
38,12,12,0
40,8,12,0
18,0,12,0
7,0,12,0
15,0,12,0
16,0,12,0
16,0,12,0
16,8,12,0
10,0,12,0
13,0,12,0
13,0,12,0
13,3,12,0
31,15,12,0
27,9,12,0
23,4,12,0
29,8,12,0
20,0,12,0
23,0,12,0
35,13,12,0
25,0,12,0
27,12,12,0
25,0,12,0
36,0,12,0
40,4,12,0
34,4,12,0
41,7,12,0
39,14,12,0
33,16,12,0
35,15,12,0
45,5,12,0
34,12,12,0
44,23,12,0
23,1,13,0
18,3,13,0
12,0,13,0
21,1,13,0
11,0,13,0
12,0,13,0
11,0,13,0
14,0,13,0
17,1,13,0
18,1,13,0
35,4,13,0
26,0,13,0
31,0,13,0
35,3,13,0
33,4,13,0
39,3,13,0
30,1,13,0
27,0,13,0
37,0,13,0
31,0,13,0
58,4,13,0
48,2,13,0
51,4,13,0
45,5,13,0
46,4,13,0
54,5,13,0
53,4,13,0
37,6,13,0
51,4,13,0
49,3,13,0
17,0,13,0
10,0,13,0
21,1,13,0
20,1,13,0
22,3,13,0
14,0,13,0
15,0,13,0
20,1,13,0
12,0,13,0
16,0,13,0
20,2,13,0
35,4,13,0
36,3,13,0
27,2,13,0
33,4,13,0
36,5,13,0
27,2,13,0
31,1,13,0
37,3,13,0
35,5,13,0
47,11,13,0
52,8,13,0
36,0,13,0
43,5,13,0
34,5,13,0
57,6,13,0
46,5,13,0
42,6,13,0
46,9,13,0
45,2,13,0
19,0,13,0
19,2,13,0
23,2,13,0
18,0,13,0
10,0,13,0
24,0,13,0
22,2,13,0
18,0,13,0
13,0,13,0
17,0,13,0
30,4,13,0
28,1,13,0
29,2,13,0
29,2,13,0
35,4,13,0
25,0,13,0
33,1,13,0
35,4,13,0
39,8,13,0
27,2,13,0
47,7,13,0
43,3,13,0
51,6,13,0
43,7,13,0
53,8,13,0
46,2,13,0
49,6,13,0
44,2,13,0
47,2,13,0
53,6,13,0
14,0,13,0
20,0,13,0
22,0,13,0
14,2,13,0
18,0,13,0
10,0,13,0
21,1,13,0
15,0,13,0
18,0,13,0.00999999999999091
14,0,13,0
36,0,13,0
31,7,13,0
25,2,13,0
37,7,13,0
41,5,13,0
31,3,13,0
29,1,13,0
36,4,13,0
29,10,13,0
27,3,13,0
53,8,13,0
44,4,13,0
48,1,13,0
58,10,13,0
53,11,13,0
48,6,13,0
52,11,13,0
53,9,13,0
40,9,13,0
35,0,13,0
12,0,13,0
15,8,13,0
24,4,13,0
24,0,13,0
8,0,13,0
7,0,13,0
16,0,13,0
17,0,13,0
22,5,13,0
13,0,13,0
24,10,13,0
35,3,13,0
34,16,13,0
35,0,13,0
31,7,13,0
32,10,13,0
28,0,13,0
27,11,13,0
39,19,13,0
35,10,13,0
44,4,13,0
43,12,13,0
36,1,13,0
49,10,13,0
46,18,13,0
52,14,13,0
45,15,13,0
53,19,13,0
58,4,13,0
46,22,13,0
18,0,15,0
32,0,15,0
22,0,15,0
20,2,15,0
20,0,15,0
23,2,15,0
15,1,15,0
21,0,15,0
19,0,15,0
22,1,15,0
42,1,15,0
42,1,15,0
51,1,15,0
40,1,15,0
46,2,15,0
43,1,15,0
35,1,15,0
46,3,15,0
39,2,15,0
45,5,15,0
56,5,15,0.00999999999999091
65,7,15,0
64,2,15,0
63,3,15,0
56,4,15,0
66,4,15,0
64,4,15,0
61,4,15,0
62,2,15,0
70,5,15,0
23,0,15,0
16,0,15,0
28,2,15,0
26,0,15,0
19,1,15,0
13,0,15,0
21,2,15,0
21,0,15,0
22,2,15,0
28,0,15,0
46,0,15,0
38,7,15,0
55,2,15,0
37,2,15,0
45,1,15,0.0199999999999818
47,1,15,0
43,3,15,0
42,1,15,0
43,4,15,0
43,2,15,0
67,12,15,0
57,3,15,0
71,5,15,0.149999999999864
75,4,15,0
66,11,15,0
62,7,15,0
70,11,15,0.0199999999999818
69,5,15,0.0299999999999727
61,6,15,0
53,8,15,0
24,6,15,0
17,0,15,0
23,1,15,0
20,0,15,0
19,0,15,0
27,0,15,0
23,2,15,0
20,0,15,0
22,2,15,0
16,0,15,0
33,1,15,0
44,9,15,0
31,2,15,0
44,3,15,0
45,9,15,0
47,7,15,0
36,1,15,0
39,5,15,0
42,6,15,0
42,3,15,0
61,8,15,0
55,7,15,0
62,10,15,0
64,5,15,0.00999999999999091
46,2,15,0
61,9,15,0
74,7,15,0
60,7,15,0
47,0,15,0
69,9,15,0
18,0,15,0
19,0,15,0
31,2,15,0
28,1,15,0
27,2,15,0
24,0,15,0
26,0,15,0
25,0,15,0
17,9,15,0
22,3,15,0
37,4,15,0
34,5,15,0
50,0,15,0
28,6,15,0
36,10,15,0
38,6,15,0
37,6,15,0
32,4,15,0
41,12,15,0
42,5,15,0
64,9,15,0
68,17,15,0
66,8,15,0
61,13,15,0
57,5,15,0
60,7,15,0
62,9,15,0
62,7,15,0
58,3,15,0
73,10,15,0
17,1,15,0
25,6,15,0
19,0,15,0
24,3,15,0
20,0,15,0
16,5,15,0
25,0,15,0
19,3,15,0
22,0,15,0
21,0,15,0
37,3,15,0
52,7,15,0
56,16,15,0
40,13,15,0
39,15,15,0
41,10,15,0
37,5,15,0
45,9,15,0
42,1,15,0
51,5,15,0
64,13,15,0
59,22,15,0
55,20,15,0
71,17,15,0.0199999999999818
63,13,15,0
77,27,15,0
57,21,15,0
63,5,15,0
57,17,15,0
63,22,15,0
25,0,20,0
43,3,20,0
28,0,20,0
38,2,20,0
31,0,20,0
40,1,20,0
37,0,20,0
52,2,20,0
36,2,20,0
45,0,20,0
80,9,20,0.0299999999999727
96,6,20,0
90,8,20,0.00999999999999091
86,5,20,0.0399999999999636
78,4,20,0
76,6,20,0
89,3,20,0.25
62,1,20,0
76,3,20,0
70,1,20,0
98,5,20,0
119,9,20,3.95000000000005
110,6,20,0
118,3,20,19.6399999999999
123,10,20,0
124,6,20,35.0999999999999
107,6,20,0.170000000000073
117,8,20,1.27999999999975
128,8,20,44.1700000000001
112,6,20,13.6799999999998
49,5,20,0
34,2,20,0
35,1,20,0
40,0,20,0
46,1,20,0
38,0,20,0
30,0,20,0
48,4,20,0
41,1,20,0
34,0,20,0
77,10,20,0
80,7,20,0.110000000000127
85,7,20,0.170000000000073
76,3,20,0.110000000000127
84,6,20,0
91,9,20,0.240000000000236
76,5,20,0
72,3,20,0
71,3,20,0.00999999999976353
76,4,20,0.0300000000002001
113,12,20,0
117,7,20,68.4200000000001
123,15,20,0
129,14,20,94.1999999999998
121,14,20,0
108,2,20,2.94999999999982
120,11,20,0
140,16,20,0.00999999999976353
119,8,20,0
131,8,20,45.4400000000001
41,4,20,0
41,0,20,0
44,4,20,0
42,1,20,0
39,0,20,0
37,2,20,0
57,0,20,0
39,0,20,0
34,0,20,0
49,3,20,0
83,7,20,0
75,9,20,0.0300000000002001
77,1,20,0
90,7,20,0
69,6,20,0
87,9,20,0.160000000000309
56,10,20,0
72,7,20,0
67,2,20,0
79,3,20,0
9,0,20,0
8,0,20,0
13,0,20,0
12,0,20,0
14,0,20,0
12,0,20,0
16,0,20,0
4,0,20,0
6,0,20,0
6,0,20,0
61,7,20,0
74,6,20,0
64,9,20,0.0500000000000043
55,6,20,0
70,8,20,0.0200000000000031
55,5,20,0
62,4,20,0
72,6,20,0
68,2,20,0.00999999999999801
52,4,20,0
108,10,20,0
89,8,20,0
121,2,20,14.53
95,11,20,0.00999999999999801
123,13,20,0.140000000000001
105,13,20,0
127,17,20,0.490000000000002
107,7,20,0
104,14,20,0
75,6,20,0
71,7,20,0
82,13,20,0
78,12,20,0.0400000000000063
93,9,20,0.650000000000006
72,4,20,0.0300000000000011
77,13,20,0
71,4,20,0.0100000000000051
83,4,20,0
58,8,20,0
84,7,20,0.0799999999999841
80,6,20,0
76,8,20,0.389999999999986
79,5,20,0.0300000000000011
78,15,20,0
90,11,20,0.420000000000016
72,3,20,0
84,4,20,0
73,6,20,0.0200000000000102
96,2,20,0
83,7,20,0
75,5,20,0.129999999999995
72,3,20,0.0199999999999818
82,6,20,0
81,3,20,0
74,5,20,0
91,6,20,0
76,11,20,0.00999999999999091
70,1,20,0
85,15,20,0.150000000000006
87,8,20,0
84,13,20,0
88,14,20,0
80,5,20,0
68,3,20,0
75,0,20,0.0600000000000023
89,4,20,0
69,11,20,0
88,4,20,0.840000000000003
81,5,20,0
82,7,20,0
83,6,20,0
83,10,20,0
75,5,20,0
77,10,20,0
86,11,20,0.0199999999999818
70,4,20,0.0200000000000102
68,2,20,0
81,5,20,0.0499999999999829
91,1,20,1.62
66,4,20,0
88,4,20,0
89,4,20,0
76,4,20,0.0699999999999932
72,7,20,0.039999999999992
85,5,20,0.140000000000015
70,6,20,0.0500000000000114
90,4,20,0.75
68,7,20,0.0300000000000011
63,7,20,0
77,7,20,0.0799999999999841
89,12,20,0.610000000000014
76,5,20,0
73,13,20,0.140000000000015
93,13,20,0
89,6,20,0
81,12,20,1.66
71,8,20,0.179999999999978
78,5,20,0
71,4,20,0
77,8,20,0.0400000000000205
87,7,20,0.180000000000007
71,5,20,0
91,3,20,0.949999999999989
71,2,20,0
83,7,20,0
74,3,20,0.0300000000000011
78,6,20,0
94,6,20,1.51000000000002
91,12,20,0.530000000000001
82,4,20,0.189999999999998
87,4,20,0.390000000000015
85,12,20,0.180000000000007
79,4,20,0.0300000000000011
77,7,20,0.0800000000000125
68,13,20,0
71,4,20,0.0300000000000011
91,7,20,0
75,4,20,0.0800000000000125
93,13,20,2.09
85,10,20,0.0600000000000023
84,11,20,0.260000000000019
72,9,20,0
73,5,20,0.00999999999999091
85,7,20,0.27000000000001
90,8,20,1.47
86,18,20,0
84,13,20,0
82,7,20,0
68,2,20,0
87,7,20,0.379999999999995
84,8,20,0.0999999999999943
70,9,20,0
67,1,20,0
73,6,20,0.0500000000000114
73,9,20,0
75,2,20,0.0799999999999841
84,4,20,0.300000000000011
84,4,20,0
90,12,20,0
80,1,20,0
83,12,20,0.159999999999997
73,16,20,0
80,11,20,0.0200000000000102
81,4,20,0
76,7,20,0.0500000000000114
83,8,20,0
86,4,20,0
87,16,20,0
77,8,20,0.0600000000000023
80,6,20,0
97,12,20,2.03
82,8,20,0.0300000000000011
77,2,20,0.269999999999982
61,2,20,0
82,8,20,0.0300000000000011
63,10,20,0
71,10,20,0
83,8,20,0.159999999999997
87,11,20,0
75,8,20,0.0300000000000011
84,7,20,0.469999999999999
69,13,20,0
74,3,20,0
76,4,20,0
71,19,20,0
80,9,20,0
85,4,20,0
84,8,20,0
73,1,20,0.00999999999999091
93,9,20,0
78,1,20,0
71,11,20,0.00999999999999091
76,2,20,0.0800000000000125
78,9,20,0.0800000000000125
82,3,20,0
78,6,20,0.0200000000000102
86,4,20,0
84,12,20,0
75,3,20,0
88,11,20,0.699999999999989
